experiment_name,backend,mpi_ranks,omp_threads,num_qubits,circuit_depth,num_cuts,total_tasks,batch_size,chunk_records,compute_seconds,write_seconds,read_seconds,total_seconds,global_sum,records_written,bytes_written,files_created,tasks_per_second,max_buffer_mb
memory_mpi1_b1024_c4096_cuts4_t1_rep0,memory,1,1,15,10,4,256,1024,4096,1.081448,0.000001,0.000000,1.081456,0.000000,256,16384,0,236.717878,0.015625
memory_mpi1_b1024_c4096_cuts4_t2_rep0,memory,1,2,15,10,4,256,1024,4096,0.920343,0.000002,0.000000,0.920353,0.000000,256,16384,0,278.154255,0.015625
memory_mpi1_b1024_c4096_cuts6_t1_rep0,memory,1,1,15,10,6,4096,1024,4096,17.678419,0.000034,0.000008,17.678487,0.000000,4096,262144,0,231.694042,0.250000
memory_mpi1_b1024_c4096_cuts6_t2_rep0,memory,1,2,15,10,6,4096,1024,4096,15.435789,0.000041,0.000009,15.435865,0.000000,4096,262144,0,265.356043,0.250000
memory_mpi1_b1024_c4096_cuts8_t1_rep0,memory,1,1,15,10,8,65536,1024,4096,295.861066,0.002871,0.000205,295.864271,0.000000,65536,4194304,0,221.506976,4.000000
memory_mpi1_b1024_c4096_cuts8_t2_rep0,memory,1,2,15,10,8,65536,1024,4096,257.327497,0.002737,0.000174,257.330579,0.000000,65536,4194304,0,254.676301,4.000000
memory_mpi1_b1024_c16384_cuts4_t1_rep0,memory,1,1,15,10,4,256,1024,16384,1.088424,0.000001,0.000000,1.088432,0.000000,256,16384,0,235.200757,0.015625
memory_mpi1_b1024_c16384_cuts4_t2_rep0,memory,1,2,15,10,4,256,1024,16384,0.931207,0.000002,0.000000,0.931216,0.000000,256,16384,0,274.909459,0.015625
memory_mpi1_b1024_c16384_cuts6_t1_rep0,memory,1,1,15,10,6,4096,1024,16384,17.945497,0.000037,0.000008,17.945569,0.000000,4096,262144,0,228.245759,0.250000
memory_mpi1_b1024_c16384_cuts6_t2_rep0,memory,1,2,15,10,6,4096,1024,16384,15.494262,0.000039,0.000008,15.494334,0.000000,4096,262144,0,264.354703,0.250000
memory_mpi1_b1024_c16384_cuts8_t1_rep0,memory,1,1,15,10,8,65536,1024,16384,298.518084,0.002731,0.000169,298.521106,0.000000,65536,4194304,0,219.535566,4.000000
memory_mpi1_b1024_c16384_cuts8_t2_rep0,memory,1,2,15,10,8,65536,1024,16384,252.455202,0.002628,0.000178,252.458156,0.000000,65536,4194304,0,259.591534,4.000000
memory_mpi1_b1024_c65536_cuts4_t1_rep0,memory,1,1,15,10,4,256,1024,65536,1.055303,0.000001,0.000000,1.055316,0.000000,256,16384,0,242.581366,0.015625
memory_mpi1_b1024_c65536_cuts4_t2_rep0,memory,1,2,15,10,4,256,1024,65536,0.912228,0.000002,0.000000,0.912236,0.000000,256,16384,0,280.629014,0.015625
memory_mpi1_b1024_c65536_cuts6_t1_rep0,memory,1,1,15,10,6,4096,1024,65536,17.639247,0.000034,0.000008,17.639312,0.000000,4096,262144,0,232.208602,0.250000
memory_mpi1_b1024_c65536_cuts6_t2_rep0,memory,1,2,15,10,6,4096,1024,65536,15.556223,0.000042,0.000009,15.556297,0.000000,4096,262144,0,263.301738,0.250000
memory_mpi1_b1024_c65536_cuts8_t1_rep0,memory,1,1,15,10,8,65536,1024,65536,291.724817,0.002716,0.000167,291.727819,0.000000,65536,4194304,0,224.647757,4.000000
memory_mpi1_b1024_c65536_cuts8_t2_rep0,memory,1,2,15,10,8,65536,1024,65536,251.281637,0.002725,0.000169,251.284681,0.000000,65536,4194304,0,260.803802,4.000000
memory_mpi1_b4096_c4096_cuts4_t1_rep0,memory,1,1,15,10,4,256,4096,4096,1.092083,0.000001,0.000000,1.092090,0.000000,256,16384,0,234.412819,0.015625
memory_mpi1_b4096_c4096_cuts4_t2_rep0,memory,1,2,15,10,4,256,4096,4096,0.915669,0.000001,0.000000,0.915676,0.000000,256,16384,0,279.574738,0.015625
memory_mpi1_b4096_c4096_cuts6_t1_rep0,memory,1,1,15,10,6,4096,4096,4096,17.792634,0.000015,0.000002,17.792758,0.000000,4096,262144,0,230.206014,0.250000
memory_mpi1_b4096_c4096_cuts6_t2_rep0,memory,1,2,15,10,6,4096,4096,4096,15.165700,0.000019,0.000003,15.165830,0.000000,4096,262144,0,270.080837,0.250000
memory_mpi1_b4096_c4096_cuts8_t1_rep0,memory,1,1,15,10,8,65536,4096,4096,292.149689,0.002366,0.000161,292.152387,0.000000,65536,4194304,0,224.321289,4.000000
memory_mpi1_b4096_c4096_cuts8_t2_rep0,memory,1,2,15,10,8,65536,4096,4096,252.056989,0.002487,0.000168,252.059853,0.000000,65536,4194304,0,260.001739,4.000000
