experiment_name,backend,mpi_ranks,omp_threads,num_qubits,circuit_depth,num_cuts,total_tasks,batch_size,chunk_records,compute_seconds,write_seconds,read_seconds,total_seconds,global_sum,records_written,bytes_written,files_created,tasks_per_second,max_buffer_mb
memory_mpi1_b1024_c4096_cuts4_t4_rep0,memory,1,4,28,120,4,599837,1024,4096,0.042818,0.025776,0.001750,0.070741,-0.010880,599837,38389568,0,8479399.581320,36.611145
memory_mpi1_b1024_c4096_cuts4_t8_rep0,memory,1,8,28,120,4,599837,1024,4096,0.048967,0.026030,0.001740,0.077141,-0.010880,599837,38389568,0,7775837.193606,36.611145
memory_mpi1_b1024_c4096_cuts4_t12_rep0,memory,1,12,28,120,4,599837,1024,4096,0.054234,0.026767,0.001772,0.083162,-0.010880,599837,38389568,0,7212882.515019,36.611145
memory_mpi1_b1024_c4096_cuts6_t4_rep0,memory,1,4,28,120,6,9597401,1024,4096,0.731631,0.460072,0.025593,1.224452,-0.015582,9597401,614233664,0,7838117.249903,585.778870
memory_mpi1_b1024_c4096_cuts6_t8_rep0,memory,1,8,28,120,6,9597401,1024,4096,0.814040,0.445531,0.023679,1.289527,-0.015582,9597401,614233664,0,7442573.514630,585.778870
memory_mpi1_b1024_c4096_cuts6_t12_rep0,memory,1,12,28,120,6,9597401,1024,4096,0.885228,0.435979,0.023776,1.351039,-0.015582,9597401,614233664,0,7103717.137181,585.778870
memory_mpi1_b1024_c4096_cuts8_t4_rep0,memory,1,4,28,120,8,50000000,1024,4096,3.579239,1.871361,0.129278,5.610902,0.000027,50000000,3200000000,0,8911223.624918,3051.757812
memory_mpi1_b1024_c4096_cuts8_t8_rep0,memory,1,8,28,120,8,50000000,1024,4096,4.053794,1.882223,0.125086,6.091981,0.000027,50000000,3200000000,0,8207511.476552,3051.757812
memory_mpi1_b1024_c4096_cuts8_t12_rep0,memory,1,12,28,120,8,50000000,1024,4096,4.502145,1.856732,0.123725,6.513585,0.000027,50000000,3200000000,0,7676264.885636,3051.757812
memory_mpi1_b1024_c16384_cuts4_t4_rep0,memory,1,4,28,120,4,599837,1024,16384,0.042165,0.024437,0.001416,0.068415,-0.010880,599837,38389568,0,8767642.641353,36.611145
memory_mpi1_b1024_c16384_cuts4_t8_rep0,memory,1,8,28,120,4,599837,1024,16384,0.047902,0.025483,0.001373,0.075151,-0.010880,599837,38389568,0,7981735.381714,36.611145
memory_mpi1_b1024_c16384_cuts4_t12_rep0,memory,1,12,28,120,4,599837,1024,16384,0.052635,0.025806,0.001677,0.080524,-0.010880,599837,38389568,0,7449125.567211,36.611145
memory_mpi1_b1024_c16384_cuts6_t4_rep0,memory,1,4,28,120,6,9597401,1024,16384,0.684463,0.420956,0.023459,1.134741,-0.015582,9597401,614233664,0,8457788.995706,585.778870
memory_mpi1_b1024_c16384_cuts6_t8_rep0,memory,1,8,28,120,6,9597401,1024,16384,0.771004,0.428829,0.025565,1.231277,-0.015582,9597401,614233664,0,7794673.061015,585.778870
memory_mpi1_b1024_c16384_cuts6_t12_rep0,memory,1,12,28,120,6,9597401,1024,16384,0.866845,0.425094,0.023248,1.321064,-0.015582,9597401,614233664,0,7264904.361458,585.778870
memory_mpi1_b1024_c16384_cuts8_t4_rep0,memory,1,4,28,120,8,50000000,1024,16384,3.525746,1.857302,0.121459,5.535310,0.000027,50000000,3200000000,0,9032917.011500,3051.757812
memory_mpi1_b1024_c16384_cuts8_t8_rep0,memory,1,8,28,120,8,50000000,1024,16384,4.041938,1.873571,0.122811,6.068377,0.000027,50000000,3200000000,0,8239435.156557,3051.757812
memory_mpi1_b1024_c16384_cuts8_t12_rep0,memory,1,12,28,120,8,50000000,1024,16384,4.520292,1.858077,0.134336,6.543627,0.000027,50000000,3200000000,0,7641022.800086,3051.757812
memory_mpi1_b1024_c65536_cuts4_t4_rep0,memory,1,4,28,120,4,599837,1024,65536,0.042646,0.025015,0.001472,0.069527,-0.010880,599837,38389568,0,8627432.412271,36.611145
memory_mpi1_b1024_c65536_cuts4_t8_rep0,memory,1,8,28,120,4,599837,1024,65536,0.048906,0.026309,0.001583,0.077201,-0.010880,599837,38389568,0,7769852.562217,36.611145
